,Position,Track Name,Artist,Streams,URL,date
157,158,Pa' Olvidarme De Ella,Piso 21,5391335,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh,2020-01-12
158,159,3 Nights,Dominic Fike,5377533,https://open.spotify.com/track/0uI7yAKUf52Cn7y3sYyjiX,2020-01-12
159,160,If I Can't Have You,Shawn Mendes,5359440,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh,2020-01-12
160,161,Let Me Get Me,Selena Gomez,5356671,https://open.spotify.com/track/0uFForNKQPvgSCnxlZIhQy,2020-01-12
161,162,Otro Trago - Remix,Sech,5330762,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL,2020-01-12
162,163,MIDDLE CHILD,J. Cole,5324932,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8,2020-01-12
163,164,Youngblood,5 Seconds of Summer,5311732,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,2020-01-12
164,165,Panini,Lil Nas X,5295070,https://open.spotify.com/track/1000nHvUdawXuUHgBod4Wv,2020-01-12
165,166,A Sweeter Place (feat. Kid Cudi),Selena Gomez,5291134,https://open.spotify.com/track/4bb94wZVF1cX66vQjNeJTX,2020-01-12
166,167,Be Alright,Dean Lewis,5280157,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy,2020-01-12
167,168,Talk (feat. Disclosure),Khalid,5279861,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq,2020-01-12
168,169,Moonlight,XXXTENTACION,5270708,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,2020-01-12
169,170,Stuck In A Dream (feat. Gunna),Lil Mosey,5258047,https://open.spotify.com/track/7iHHxY2NLlJRAmlAmC4ahQ,2020-01-12
170,171,The London (feat. J. Cole & Travis Scott),Young Thug,5256660,https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n,2020-01-12
171,172,I Like Me Better,Lauv,5248691,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ,2020-01-12
172,173,Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,5199618,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw,2020-01-12
173,174,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,5163953,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6,2020-01-12
174,175,Takeaway,The Chainsmokers,5155938,https://open.spotify.com/track/3g0mEQx3NTanacLseoP0Gw,2020-01-12
175,176,Tip Toe (feat. A Boogie Wit da Hoodie),Roddy Ricch,5150724,https://open.spotify.com/track/6ztvsy3C6hPjVg9j4x1XKJ,2020-01-12
176,177,Legends,Juice WRLD,5137198,https://open.spotify.com/track/1Knctxx9vGZxpZfF66BIEa,2020-01-12
177,178,Let Me Down Slowly,Alec Benjamin,5132730,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d,2020-01-12
178,179,Graveyard,Halsey,5125113,https://open.spotify.com/track/6V9fHiv84WlVTg7CSnIVY2,2020-01-12
179,180,All of Me,John Legend,5102437,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a,2020-01-12
180,181,I.F.L.Y.,Bazzi,5093194,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD,2020-01-12
181,182,Start Wit Me (feat. Gunna),Roddy Ricch,5085706,https://open.spotify.com/track/7A20WnLkjtZU2d7hIB6Ziu,2020-01-12
182,183,SLOW DANCING IN THE DARK,Joji,5043408,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d,2020-01-12
183,184,11 PM,Maluma,5024709,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d,2020-01-12
184,185,SENTADÃO,Pedro Sampaio,4997602,https://open.spotify.com/track/4lKuzrdZrJuCAedbIslF3A,2020-01-12
185,186,You Need To Calm Down,Taylor Swift,4982203,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5,2020-01-12
186,187,Diamonds (with Normani),Megan Thee Stallion,4981484,https://open.spotify.com/track/0PQsrLxPbOBBwwmXCnGvcF,2020-01-12
187,188,God's Plan,Drake,4978424,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,2020-01-12
188,189,all the good girls go to hell,Billie Eilish,4974632,https://open.spotify.com/track/6IRdLKIyS4p7XNiP8r6rsx,2020-01-12
189,190,Don't Call Me Up,Mabel,4931458,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8,2020-01-12
190,191,Death,Trippie Redd,4929396,https://open.spotify.com/track/3Kd6Wp3lG5HXMB2dlvuy7y,2020-01-12
191,192,Closer,The Chainsmokers,4906807,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2020-01-12
192,193,Going Bad (feat. Drake),Meek Mill,4896370,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,2020-01-12
193,194,Calma - Remix,Pedro Capó,4879713,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2020-01-12
194,195,Cut You Off,Selena Gomez,4874380,https://open.spotify.com/track/4OtHGdb0KqEbaWb6edUnR9,2020-01-12
195,196,Kinda Crazy,Selena Gomez,4866777,https://open.spotify.com/track/59iGOjPSOcPLGl3vqEStUp,2020-01-12
196,197,Something Just Like This,The Chainsmokers,4866278,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,2020-01-12
197,198,Thunder,Imagine Dragons,4834289,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB,2020-01-12
198,199,2002,Anne-Marie,4831644,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo,2020-01-12
199,200,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,4816702,https://open.spotify.com/track/0KoiMHhqKLoL4xM54rcWYY,2020-01-12
0,1,Dance Monkey,Tones And I,50409214,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,2020-01-19
1,2,The Box,Roddy Ricch,48937592,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,2020-01-19
2,3,Tusa,KAROL G,41434019,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,2020-01-19
3,4,Godzilla (feat. Juice WRLD),Eminem,40637125,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ,2020-01-19
4,5,Yummy,Justin Bieber,34586419,https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l,2020-01-19
5,6,Life Is Good (feat. Drake),Future,34200687,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc,2020-01-19
6,7,Blinding Lights,The Weeknd,33551309,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,2020-01-19
7,8,ROXANNE,Arizona Zervas,32102084,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,2020-01-19
8,9,Falling,Trevor Daniel,28606316,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,2020-01-19
9,10,Don't Start Now,Dua Lipa,28228768,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,2020-01-19
10,11,Memories,Maroon 5,24516744,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,2020-01-19
11,12,Circles,Post Malone,23997809,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,2020-01-19
12,13,everything i wanted,Billie Eilish,21786149,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,2020-01-19
13,14,Good News,Mac Miller,21727425,https://open.spotify.com/track/1DWZUa5Mzf2BwzpHtgbHPY,2020-01-19
14,15,RITMO (Bad Boys For Life),Black Eyed Peas,21103190,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf,2020-01-19
15,16,You should be sad,Halsey,19736651,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK,2020-01-19
16,17,Someone You Loved,Lewis Capaldi,19523711,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,2020-01-19
17,18,Señorita,Shawn Mendes,19265338,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,2020-01-19
18,19,Black Swan,BTS,18424710,https://open.spotify.com/track/24NuEDgyRIljwSyY0lsr7b,2020-01-19
19,20,Lose You To Love Me,Selena Gomez,17714002,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi,2020-01-19
20,21,Rare,Selena Gomez,17524322,https://open.spotify.com/track/7HMmFQsKsljwTw8bS7lu19,2020-01-19
21,22,Those Kinda Nights (feat. Ed Sheeran),Eminem,16416620,https://open.spotify.com/track/0VSzREd1OjEWJ9tXoFHRQH,2020-01-19
22,23,bad guy,Billie Eilish,16405196,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,2020-01-19
23,24,Adore You,Harry Styles,16285662,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,2020-01-19
24,25,My Oh My (feat. DaBaby),Camila Cabello,16246433,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K,2020-01-19
25,26,Darkness,Eminem,15658341,https://open.spotify.com/track/5SiZJoLXp3WOl3J4C8IK0d,2020-01-19
26,27,What A Man Gotta Do,Jonas Brothers,15362782,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd,2020-01-19
